town,county,total_enrollment,num_schools,single_school_town,avg_school_enrollment,enrollment_category,num_elementary,num_middle,num_high,num_combined,weighted_frpl_rate,free_lunch_rate,reduced_lunch_rate,elementary_frpl_rate,middle_frpl_rate,high_frpl_rate,school_frpl_variance,school_frpl_range,min_school_frpl_rate,max_school_frpl_rate,county_poverty_rate,county_median_income,county_snap_rate,frpl_vs_county_poverty,frpl_above_county_avg,county_income_zscore,frpl_zscore,hardship_score,high_frpl_flag,very_high_frpl_flag,low_confidence_flag
Morrisville,Lamoille,795.0,3,0,265.0,large,1,1,1,0,28.05,24.78,3.27,35.947712418300654,26.785714285714285,20.0,63.64,15.9,20.0,35.9,8.6,69886,8.7,19.45,1,-0.223,-0.309,-0.086,0,0,0
Mount Holly,Rutland,105.0,1,1,105.0,small,1,0,0,0,29.52,25.71,3.81,29.523809523809526,,,0.0,0.0,29.5,29.5,11.4,62641,10.6,18.12,1,-1.021,-0.211,0.81,0,0,0
New Haven,Addison,78.0,1,1,78.0,small,1,0,0,0,16.67,8.97,7.69,16.666666666666664,,,0.0,0.0,16.7,16.7,7.5,85870,9.0,9.17,1,1.536,-1.063,-2.599,0,0,0
Newark,Caledonia,69.0,1,1,69.0,small,1,0,0,0,24.64,23.19,1.45,24.637681159420293,,,0.0,0.0,24.6,24.6,11.8,62964,14.1,12.84,1,-0.985,-0.535,0.45,0,0,0
Newbury,Orange,96.0,1,1,96.0,small,1,0,0,0,37.5,31.25,6.25,37.5,,,0.0,0.0,37.5,37.5,9.2,74534,10.2,28.3,1,0.288,0.318,0.03,0,0,0
Newfane,Windham,101.0,1,1,101.0,small,1,0,0,0,25.74,20.79,4.95,25.742574257425744,,,0.0,0.0,25.7,25.7,12.6,65473,13.5,13.14,1,-0.709,-0.462,0.247,0,0,0
Newport,Orleans,994.0,2,0,497.0,large,1,0,1,0,58.75,50.2,8.55,70.6070287539936,,53.30396475770925,149.64,17.3,53.3,70.6,9.8,63981,13.7,48.95,1,-0.873,1.727,2.6,1,0,0
Newport Center,Orleans,128.0,1,1,128.0,small,1,0,0,0,58.59,50.78,7.81,58.59375,,,0.0,0.0,58.6,58.6,9.8,63981,13.7,48.79,1,-0.873,1.716,2.589,1,0,0
North Clarendon,Rutland,532.0,2,0,266.0,large,1,0,1,0,33.08,26.5,6.58,41.358024691358025,,29.45945945945946,70.8,11.9,29.5,41.4,11.4,62641,10.6,21.68,1,-1.021,0.025,1.046,0,0,0
North Hero,Grand Isle,50.0,1,1,50.0,very_small,1,0,0,0,54.0,42.0,12.0,54.0,,,0.0,0.0,54.0,54.0,7.4,86639,9.7,46.6,1,1.621,1.412,-0.209,1,0,0
North Troy,Orleans,187.0,1,1,187.0,small,1,0,0,0,75.4,63.1,12.3,75.40106951871658,,,0.0,0.0,75.4,75.4,9.8,63981,13.7,65.6,1,-0.873,2.831,3.704,1,1,0
Northfield,Washington,525.0,2,0,262.5,large,1,0,1,0,20.95,20.95,0.0,20.415224913494807,,21.610169491525426,0.72,1.2,20.4,21.6,9.9,77278,10.3,11.05,1,0.59,-0.78,-1.37,0,0,0
Norwich,Windsor,351.0,1,1,351.0,medium,1,0,0,0,6.55,6.55,0.0,6.552706552706552,,,0.0,0.0,6.6,6.6,8.7,69492,9.0,-2.15,0,-0.267,-1.734,-1.467,0,0,0
